"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"05/01/2024 15:00 - 05/01/2024 16:00","Norway (NO)","24026.04","23843.30"
"05/01/2024 16:00 - 05/01/2024 17:00","Norway (NO)","24010.60","23686.25"
"05/01/2024 17:00 - 05/01/2024 18:00","Norway (NO)","23866.80","23520.37"
"05/01/2024 18:00 - 05/01/2024 19:00","Norway (NO)","23567.06","23330.32"
"05/01/2024 19:00 - 05/01/2024 20:00","Norway (NO)","23479.97","23109.43"
"05/01/2024 20:00 - 05/01/2024 21:00","Norway (NO)","23250.41","22929.82"
"05/01/2024 21:00 - 05/01/2024 22:00","Norway (NO)","22976.49","22669.11"
"05/01/2024 22:00 - 05/01/2024 23:00","Norway (NO)","22633.64","22402.33"
"05/01/2024 23:00 - 06/01/2024 00:00","Norway (NO)","22281.37","21965.42"
"06/01/2024 00:00 - 06/01/2024 01:00","Norway (NO)","21944.85","21861.33"
"06/01/2024 01:00 - 06/01/2024 02:00","Norway (NO)","21761.87","21728.18"
"06/01/2024 02:00 - 06/01/2024 03:00","Norway (NO)","21642.90","21527.15"
"06/01/2024 03:00 - 06/01/2024 04:00","Norway (NO)","21505.71","21311.98"
"06/01/2024 04:00 - 06/01/2024 05:00","Norway (NO)","21439.13","21295.43"
"06/01/2024 05:00 - 06/01/2024 06:00","Norway (NO)","21388.20","21406.08"
"06/01/2024 06:00 - 06/01/2024 07:00","Norway (NO)","21588.83","21561.26"
"06/01/2024 07:00 - 06/01/2024 08:00","Norway (NO)","21935.90","21892.04"
"06/01/2024 08:00 - 06/01/2024 09:00","Norway (NO)","22471.35","22425.71"
"06/01/2024 09:00 - 06/01/2024 10:00","Norway (NO)","22970.73","22908.75"
"06/01/2024 10:00 - 06/01/2024 11:00","Norway (NO)","23469.10","23199.68"
"06/01/2024 11:00 - 06/01/2024 12:00","Norway (NO)","23792.68","23098.07"
"06/01/2024 12:00 - 06/01/2024 13:00","Norway (NO)","23550.96","23447.36"
"06/01/2024 13:00 - 06/01/2024 14:00","Norway (NO)","23312.17","23269.04"
"06/01/2024 14:00 - 06/01/2024 15:00","Norway (NO)","23258.22","23090.68"
"06/01/2024 15:00 - 06/01/2024 16:00","Norway (NO)","23399.34","23358.61"
"06/01/2024 16:00 - 06/01/2024 17:00","Norway (NO)","23897.80","23557.84"
"06/01/2024 17:00 - 06/01/2024 18:00","Norway (NO)","24137.45","23725.16"
"06/01/2024 18:00 - 06/01/2024 19:00","Norway (NO)","24130.11","23725.93"
"06/01/2024 19:00 - 06/01/2024 20:00","Norway (NO)","23786.48","23365.45"
"06/01/2024 20:00 - 06/01/2024 21:00","Norway (NO)","23280.70","23317.75"
"06/01/2024 21:00 - 06/01/2024 22:00","Norway (NO)","22723.36","22824.03"
"06/01/2024 22:00 - 06/01/2024 23:00","Norway (NO)","22487.91","22349.66"
"06/01/2024 23:00 - 07/01/2024 00:00","Norway (NO)","22006.97","22184.20"
"07/01/2024 00:00 - 07/01/2024 01:00","Norway (NO)","22059.68","21662.47"
"07/01/2024 01:00 - 07/01/2024 02:00","Norway (NO)","21745.62","21601.08"
"07/01/2024 02:00 - 07/01/2024 03:00","Norway (NO)","21575.62","21524.92"
"07/01/2024 03:00 - 07/01/2024 04:00","Norway (NO)","21452.03","21413.85"
"07/01/2024 04:00 - 07/01/2024 05:00","Norway (NO)","21514.15","21344.10"
"07/01/2024 05:00 - 07/01/2024 06:00","Norway (NO)","21465.85","21437.25"
"07/01/2024 06:00 - 07/01/2024 07:00","Norway (NO)","21547.30","21512.79"
"07/01/2024 07:00 - 07/01/2024 08:00","Norway (NO)","21770.42","21681.47"
"07/01/2024 08:00 - 07/01/2024 09:00","Norway (NO)","22187.58","22118.54"
"07/01/2024 09:00 - 07/01/2024 10:00","Norway (NO)","22748.18","22559.82"
"07/01/2024 10:00 - 07/01/2024 11:00","Norway (NO)","23169.29","22913.29"
"07/01/2024 11:00 - 07/01/2024 12:00","Norway (NO)","23119.85","23270.94"
"07/01/2024 12:00 - 07/01/2024 13:00","Norway (NO)","22966.47","22933.48"
"07/01/2024 13:00 - 07/01/2024 14:00","Norway (NO)","22938.51","22901.97"
"07/01/2024 14:00 - 07/01/2024 15:00","Norway (NO)","23066.41","22926.26"
"07/01/2024 15:00 - 07/01/2024 16:00","Norway (NO)","23319.75","23197.67"
