"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"04/01/2024 20:00 - 04/01/2024 21:00","Sweden (SE)","23220.00","22793.00"
"04/01/2024 21:00 - 04/01/2024 22:00","Sweden (SE)","22594.00","22274.00"
"04/01/2024 22:00 - 04/01/2024 23:00","Sweden (SE)","21765.00","21558.00"
"04/01/2024 23:00 - 05/01/2024 00:00","Sweden (SE)","21240.00","20895.00"
"05/01/2024 00:00 - 05/01/2024 01:00","Sweden (SE)","20746.00","20787.00"
"05/01/2024 01:00 - 05/01/2024 02:00","Sweden (SE)","20508.00","20569.00"
"05/01/2024 02:00 - 05/01/2024 03:00","Sweden (SE)","20241.00","20505.00"
"05/01/2024 03:00 - 05/01/2024 04:00","Sweden (SE)","20307.00","20618.00"
"05/01/2024 04:00 - 05/01/2024 05:00","Sweden (SE)","20613.00","20771.00"
"05/01/2024 05:00 - 05/01/2024 06:00","Sweden (SE)","21139.00","21194.00"
"05/01/2024 06:00 - 05/01/2024 07:00","Sweden (SE)","22518.00","22447.00"
"05/01/2024 07:00 - 05/01/2024 08:00","Sweden (SE)","23564.00","23581.00"
"05/01/2024 08:00 - 05/01/2024 09:00","Sweden (SE)","23969.00","24251.00"
"05/01/2024 09:00 - 05/01/2024 10:00","Sweden (SE)","24388.00","24384.00"
"05/01/2024 10:00 - 05/01/2024 11:00","Sweden (SE)","24781.00","24407.00"
"05/01/2024 11:00 - 05/01/2024 12:00","Sweden (SE)","24457.00","24300.00"
"05/01/2024 12:00 - 05/01/2024 13:00","Sweden (SE)","24168.00","24232.00"
"05/01/2024 13:00 - 05/01/2024 14:00","Sweden (SE)","23903.00","24028.00"
"05/01/2024 14:00 - 05/01/2024 15:00","Sweden (SE)","23853.00","24040.00"
"05/01/2024 15:00 - 05/01/2024 16:00","Sweden (SE)","23948.00","24400.00"
"05/01/2024 16:00 - 05/01/2024 17:00","Sweden (SE)","24190.00","24653.00"
"05/01/2024 17:00 - 05/01/2024 18:00","Sweden (SE)","24153.00","24617.00"
"05/01/2024 18:00 - 05/01/2024 19:00","Sweden (SE)","23957.00","24299.00"
"05/01/2024 19:00 - 05/01/2024 20:00","Sweden (SE)","23584.00","23783.00"
"05/01/2024 20:00 - 05/01/2024 21:00","Sweden (SE)","23300.00","23249.00"
"05/01/2024 21:00 - 05/01/2024 22:00","Sweden (SE)","22988.00","22633.00"
"05/01/2024 22:00 - 05/01/2024 23:00","Sweden (SE)","22418.00","22045.00"
"05/01/2024 23:00 - 06/01/2024 00:00","Sweden (SE)","21910.00","21440.00"
"06/01/2024 00:00 - 06/01/2024 01:00","Sweden (SE)","21356.00","20674.00"
"06/01/2024 01:00 - 06/01/2024 02:00","Sweden (SE)","20972.00","20357.00"
"06/01/2024 02:00 - 06/01/2024 03:00","Sweden (SE)","20842.00","20220.00"
"06/01/2024 03:00 - 06/01/2024 04:00","Sweden (SE)","20773.00","20254.00"
"06/01/2024 04:00 - 06/01/2024 05:00","Sweden (SE)","20772.00","20365.00"
"06/01/2024 05:00 - 06/01/2024 06:00","Sweden (SE)","20682.00","20501.00"
"06/01/2024 06:00 - 06/01/2024 07:00","Sweden (SE)","21063.00","20865.00"
"06/01/2024 07:00 - 06/01/2024 08:00","Sweden (SE)","21372.00","21432.00"
"06/01/2024 08:00 - 06/01/2024 09:00","Sweden (SE)","21893.00","21985.00"
"06/01/2024 09:00 - 06/01/2024 10:00","Sweden (SE)","22189.00","22390.00"
"06/01/2024 10:00 - 06/01/2024 11:00","Sweden (SE)","22715.00","22665.00"
